id,categorie,nom_commercial,nom_variantes,dci,dosage,forme,laboratoire,nom_ar,nom_clean,prix,pharmacien_id,61266250,"a 313 200 000 ui pour cent, pommade",pommade,cutanée,autorisation active,procédure nationale,commercialisée,12/03/1998,unnamed: 8,unnamed: 9,pharma developpement,non,product_en_url,product_ar_url,product_thumbnail,nahdi_promo_en,nahdi_promo_ar,brand_name_en,brand_name_ar,product_name_en,product_name_ar,review_count,price_after_special,price_before_special,is_global_product_certain,is_nahdi_product
61.0,,DIAMICRON,DIAMICRON,GLICLAZIDE,80MG,COMPRIME SECABLE,,,DIAMICRON,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
62.0,,TEGRETOL,TEGRETOL,CARBAMAZEPINE,200MG,COMPRIME SECABLE,,,TEGRETOL,81.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.0,,ANDOL,ANDOL,PARACETAMOL,500MG,COMPRIME,,,ANDOL,14.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,,ZECLAR,ZECLAR,CLARITHROMYCINE,250MG,COMPRIME PELLICULE,,,ZECLAR,98.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
65.0,,OREX,OREX,CEFALEXINE,250MG,GRANULE POUR SUSPENSION BUVABLE,,,OREX,63.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
66.0,,REVLIMID 25 MG,REVLIMID 25 MG,LENALIDOMIDE,25MG,GELULE,,,REVLIMID 25 MG,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
67.0,,FENAC,FENAC,DICLOFENAC,50MG,COMPRIME GASTRO-RESISTANT,,,FENAC,44.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,,LIPISTAT,LIPISTAT,SIMVASTATINE,40MG,COMPRIME ENROBE,,,LIPISTAT,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
70.0,,CALCIBRONAT,CALCIBRONAT,BROMOGALACTOGLUCONATE DE CALCIUM,13.3%,SIROP,,,CALCIBRONAT,38.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
71.0,,VITA C 1000,VITA C 1000,ACIDE ASCORBIQUE (VITAMINE C),1G,COMPRIME EFFERVESCENT,,,VITA C 1000,15.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,,DUPHALAC,DUPHALAC,LACTULOSE,66.5%,SOLUTION BUVABLE,,,DUPHALAC,71.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,,CIALIS,CIALIS,TADALAFIL,20MG,COMPRIME PELLICULE,,,CIALIS,224.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.0,,EPHEDRYL,EPHEDRYL,PARACETAMOL / TRIPROLIDINE,2.5 / 25G / MG,SOLUTION BUVABLE,,,EPHEDRYL,17.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
75.0,,ECLARAN,ECLARAN,PEROXYDE DE BENZOYLE,5%,GEL,,,ECLARAN,31.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
76.0,,COQUELUSEDAL NOURRISSON,COQUELUSEDAL NOURRISSON,NIAOULI / GRINDELIA / GELSEMIUM,10/10/5MG / MG / MG,SUPPOSITOIRE,,,COQUELUSEDAL NOURRISSON,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
77.0,,NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE,NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE,NICOTINE,1.5MG,PASTILLE A SUCER,,,NICOPASS 1.5 MG SANS SUCRE REGLISSE MENTHE,47.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
78.0,,MICROPAKINE LP 100 MG,MICROPAKINE LP 100 MG,VALPROATE DE SODIUM,100MG,GRANULE LP,,,MICROPAKINE LP 100 MG,39.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
